stat_name,guid,statCategory
Damage Reflected - Avg per 10 Min,1244,Hero
Damage Absorbed - Most in Game,1721,Hero
Damage Absorbed - Avg per 10 Min,1722,Hero
|Rpl {0}:Elimination:Eliminations;,31,Hero
Time Played,33,Hero
|Rpl {0}:Elimination:Eliminations; - Most in Life,34,Hero
|Rpl {0}:Soul:Souls; Consumed,36,Hero
|Rpl {0}:Elimination:Eliminations;,37,Hero
Time Played,38,Hero
|Rpl {0}:Death:Deaths;,41,Hero
|Rpl {0}:Death:Deaths;,42,Hero
Final |Rpl {0}:Blow:Blows;,43,Hero
Final |Rpl {0}:Blow:Blows;,44,Hero
Solo |Rpl {0}:Kill:Kills;,45,Hero
Solo |Rpl {0}:Kill:Kills;,46,Hero
Weapon Accuracy,47,Hero
|Rpl {0}:Shot:Shots; Fired,48,Hero
|Rpl {0}:Shot:Shots; Hit,49,Hero
All Damage Done - Most in Life,53,Hero
Healing Done - Most in Life,54,Hero
|Rpl {0}:Game:Games; Played,56,Hero
|Rpl {0}:Game:Games; Won,57,Hero
Death Blossom |Rpl {0}:Kill:Kills;,58,Hero
Weapon Accuracy,100,Hero
Pulse Bomb |Rpl {0}:Kill:Kills;,105,Hero
Match |Rpl {0}:Blink:Blinks; Used,106,Hero
|Rpl {0}:Recall:Recalls; Used,107,Hero
Rocket Direct |Rpl {0}:Hit:Hits;,130,Hero
Barrage |Rpl {0}:Kill:Kills;,132,Hero
Venom Mine |Rpl {0}:Kill:Kills;,138,Hero
Map |Rpl {0}:Win:Wins;,141,PlayerMap
Map |Rpl {0}:Enter:Enters;,146,PlayerMap
Map |Rpl {0}:Disconnect:Disconnects;,147,PlayerMap
Map |Rpl {0}:Reconnect:Reconnects;,148,PlayerMap
Game |Rpl {0}:Leave:Leaves;,149,PlayerMap
|Rpl {0}:Win:Wins;,153,PlayerMap
|Rpl {0}:Game:Games;,154,PlayerMap
Map |Rpl {0}:Disconnect:Disconnects;,155,PlayerMap
Map |Rpl {0}:Reconnect:Reconnects;,156,PlayerMap
Map |Rpl {0}:Leave:Leaves;,157,PlayerMap
Map |Rpl {0}:Loss:Losses;,171,PlayerMap
Map |Rpl {0}:Loss:Losses;,172,PlayerMap
Offense |Rpl {0}:Win:Wins;,178,PlayerMap
Offense |Rpl {0}:Enter:Enters;,179,PlayerMap
Offense |Rpl {0}:Loss:Losses;,180,PlayerMap
Defense |Rpl {0}:Win:Wins;,181,PlayerMap
Defense |Rpl {0}:Loss:Losses;,182,PlayerMap
Defense |Rpl {0}:Enter:Enters;,183,PlayerMap
Offense |Rpl {0}:Win:Wins;,184,PlayerMap
Defense |Rpl {0}:Win:Wins;,185,PlayerMap
Photon Projector |Rpl {0}:Kill:Kills;,189,Hero
All Damage Done,201,Hero
Deadeye |Rpl {0}:Kill:Kills;,222,Hero
Frag Launcher Direct |Rpl {0}:Hit:Hits;,306,Hero
Total Mayhem |Rpl {0}:Kill:Kills;,307,Hero
|Rpl {0}:Teleporter:Teleporters; Placed,321,Hero
Average |Rpl {0}:Player:Players; per Teleporter,322,Hero
Critical Hit |Rpl {0}:Kill:Kills;,381,Hero
Damage Taken,401,Hero
|Rpl {0}:Elimination:Eliminations; - Most in Game,441,Player
Weapon Accuracy - Best in Game,443,Hero
All Damage Done,447,Hero
Healing Done,449,Hero
Pulse Bomb |Rpl {0}:Kill:Kills; - Most in Game,452,Hero
Pulse |Rpl {0}:Bomb:Bombs; Attached - Most in Game,454,Hero
Pulse |Rpl {0}:Bomb:Bombs; Attached,455,Hero
Healing Done,465,Hero
Final |Rpl {0}:Blow:Blows; - Most in Game,482,Player
All Damage Done - Most in Game,483,Player
Healing Done - Most in Game,484,Player
|Rpl {0}:Enemy:Enemies; Hooked - Most in Game,521,Hero
|Rpl {0}:Enemy:Enemies; Hooked,522,Hero
Hook Accuracy,523,Hero
|Rpl {0}:Hook:Hooks; Attempted,524,Hero
Whole Hog |Rpl {0}:Kill:Kills; - Most in Game,527,Hero
Whole Hog |Rpl {0}:Kill:Kills;,529,Hero
Deadeye |Rpl {0}:Kill:Kills; - Most in Game,533,Hero
Scoped |Rpl {0}:Hit:Hits;,534,Hero
Scoped |Rpl {0}:Shot:Shots;,535,Hero
Scoped Accuracy,536,Hero
Scoped Critical |Rpl {0}:Hit:Hits;,539,Hero
Scoped Critical |Rpl {0}:Hit:Hits; - Most in Game,541,Hero
Venom Mine |Rpl {0}:Kill:Kills; - Most in Game,542,Hero
Kill Streak - Best,547,Hero
Damage Blocked,549,Hero
Damage Blocked - Most in Game,551,Hero
Graviton Surge |Rpl {0}:Kill:Kills;,553,Hero
Graviton Surge |Rpl {0}:Kill:Kills; - Most in Game,554,Hero
High Energy |Rpl {0}:Kill:Kills; - Most in Game,556,Hero
High Energy |Rpl {0}:Kill:Kills;,557,Hero
Lifetime Energy Accumulation,559,Hero
Average Energy,561,Hero
All Damage Done,562,Team
