Frame,Type,Event,Hero,Colour,Against,Player,Fight,roundID,Team1Round,Team2Round
238080,Status Bar,Swap,Tracer,Blue,,SAUNA,0,541,Defence,Attack
238080,Status Bar,Swap,Roadhog,Blue,,WHITENOISE,0,541,Defence,Attack
238080,Status Bar,Swap,Mercy,Red,,KELLEX,0,541,Defence,Attack
238080,Status Bar,Swap,Zenyatta,Red,,RIPA,0,541,Defence,Attack
238080,Status Bar,Swap,Hanzo,Red,,DANNEDD,0,541,Defence,Attack
238080,Status Bar,Swap,Widowmaker,Red,,SPARKR,0,541,Defence,Attack
238080,Status Bar,Swap,Sigma,Red,,MOLFIG,0,541,Defence,Attack
238080,Status Bar,Swap,Roadhog,Red,,HADI,0,541,Defence,Attack
238080,Status Bar,Swap,Mercy,Blue,,KARRA,0,541,Defence,Attack
238080,Status Bar,Swap,Zenyatta,Blue,,SLAY,0,541,Defence,Attack
238080,Status Bar,Swap,Sigma,Blue,,XVESTOLA,0,541,Defence,Attack
238080,Status Bar,Swap,Widowmaker,Blue,,SYCAMORE,0,541,Defence,Attack
241440,Kill Feed,Death,Zenyatta,Red,Tracer,RIPA,1,541,Defence,Attack
241440,Kill Feed,Kill,Tracer,Blue,Zenyatta,SAUNA,1,541,Defence,Attack
241440,Kill Feed,Assist,Zenyatta,Blue,Zenyatta,SLAY,1,541,Defence,Attack
241860,Kill Feed,Assist,Zenyatta,Blue,Sigma,SLAY,1,541,Defence,Attack
241860,Kill Feed,Death,Sigma,Red,Tracer,MOLFIG,1,541,Defence,Attack
241860,Kill Feed,Kill,Tracer,Blue,Sigma,SAUNA,1,541,Defence,Attack
241920,Kill Feed,Res,Mercy,Red,Zenyatta,KELLEX,1,541,Defence,Attack
241920,Kill Feed,Res,Zenyatta,Red,Mercy,RIPA,1,541,Defence,Attack
243240,Kill Feed,Kill,Widowmaker,Blue,Widowmaker,SYCAMORE,2,541,Defence,Attack
243240,Kill Feed,Death,Widowmaker,Red,Widowmaker,SPARKR,2,541,Defence,Attack
243480,Status Bar,Ult Ready,Mercy,Blue,,KARRA,2,541,Defence,Attack
243780,Status Bar,Ult Ready,Zenyatta,Blue,,SLAY,2,541,Defence,Attack
243780,Status Bar,Ult Ready,Hanzo,Red,,DANNEDD,2,541,Defence,Attack
243780,Status Bar,Ult Ready,Mercy,Red,,KELLEX,2,541,Defence,Attack
243780,Status Bar,Ult Ready,Zenyatta,Red,,RIPA,2,541,Defence,Attack
243960,Status Bar,Ult Ready,Sigma,Blue,,XVESTOLA,2,541,Defence,Attack
244500,Kill Feed,Assist,Sigma,Blue,Roadhog,XVESTOLA,3,541,Defence,Attack
244500,Kill Feed,Death,Roadhog,Red,Widowmaker,HADI,3,541,Defence,Attack
244500,Kill Feed,Assist,Mercy,Blue,Roadhog,KARRA,3,541,Defence,Attack
244500,Kill Feed,Assist,Zenyatta,Blue,Roadhog,SLAY,3,541,Defence,Attack
244500,Kill Feed,Kill,Widowmaker,Blue,Roadhog,SYCAMORE,3,541,Defence,Attack
244860,Kill Feed,Kill,Mercy,Blue,Hanzo,KARRA,3,541,Defence,Attack
244860,Kill Feed,Assist,Zenyatta,Blue,Hanzo,SLAY,3,541,Defence,Attack
244860,Kill Feed,Death,Hanzo,Red,Mercy,DANNEDD,3,541,Defence,Attack
245160,Kill Feed,Death,Sigma,Red,Tracer,MOLFIG,3,541,Defence,Attack
245160,Kill Feed,Assist,Zenyatta,Blue,Sigma,SLAY,3,541,Defence,Attack
245160,Kill Feed,Assist,Mercy,Blue,Sigma,KARRA,3,541,Defence,Attack
245160,Kill Feed,Kill,Tracer,Blue,Sigma,SAUNA,3,541,Defence,Attack
245400,Status Bar,Ult Ready,Sigma,Red,,MOLFIG,3,541,Defence,Attack
245400,Status Bar,Ult Ready,Roadhog,Blue,,WHITENOISE,3,541,Defence,Attack
245400,Status Bar,Ult Used,Sigma,Blue,,XVESTOLA,3,541,Defence,Attack
245400,Status Bar,Ult Used,Mercy,Blue,,KARRA,3,541,Defence,Attack
245400,Status Bar,Ult Used,Hanzo,Red,,DANNEDD,3,541,Defence,Attack
245400,Status Bar,Ult Used,Zenyatta,Red,,RIPA,3,541,Defence,Attack
245400,Status Bar,Ult Used,Mercy,Red,,KELLEX,3,541,Defence,Attack
